title         = ASCII CSV version of worksheet "Natural Gas: Production" from the 2017 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2017/BP_2017_gas_production_ft3.csv
original data = http://www.bp.com/content/dam/bp/en/corporate/excel/energy-economics/statistical-review-2017/bp-statistical-review-of-world-energy-2017-underpinning-data.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = billion cubic feet per day

"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,0.081,0.582,0.168,"na",0.0,0.06,0.021,0.004,9.818,17.332,23.873,0.011,0.532,71.723,1.363,0.013,0.068,0.303,1.53,27.25,1.038,63.724,1.751,95.596,0.008,5.062,0.287,0.126,1.069,0.0,0.245,0.008,1.012,0.12,0.064,0.076,0.358,1.163,0.197,"na",0.028,0.001,1.088,0.0,0.011,2.58,0.0,0.0,0.04,0.337,0.473,0.097,2.258,"na",0.156,0.0,0.0,"na",0.177,"na",57.573,"na",0.746,0.0,0.0
1971,0.142,0.608,0.251,"na",0.0,0.088,0.021,0.004,11.971,18.597,26.124,0.017,0.601,75.899,1.421,0.012,0.072,0.372,1.781,30.687,1.629,65.795,1.759,102.023,0.012,5.513,0.374,0.12,1.335,0.0,0.258,0.008,1.682,0.121,0.067,0.09,0.866,1.185,0.204,"na",0.069,0.001,1.077,0.008,0.02,3.566,0.0,0.0,0.048,0.336,0.488,0.097,2.413,"na",0.131,0.0,0.0,"na",0.172,"na",59.205,"na",0.723,0.0,0.0
1972,0.144,0.595,0.36,"na",0.041,0.109,0.043,0.103,14.324,19.333,27.903,0.022,0.655,78.909,1.489,0.012,0.069,0.655,2.096,33.802,2.014,66.374,1.87,106.811,0.016,6.174,0.482,0.146,1.59,0.0,0.326,0.007,2.42,0.119,0.074,0.09,1.165,1.253,0.24,"na",0.273,0.001,1.119,0.011,0.027,4.742,0.0,0.0,0.046,0.311,0.515,0.106,2.461,"na",0.148,0.0,0.0,"na",0.178,"na",59.081,"na",0.717,0.0,0.0
1973,0.168,0.618,0.458,"na",0.056,0.155,0.188,0.159,16.146,20.69,30.587,0.069,0.68,81.664,1.61,0.005,0.054,0.988,2.499,37.003,2.303,67.356,2.103,112.251,0.019,6.599,0.598,0.152,1.792,0.0,0.434,0.006,2.635,0.077,0.074,0.088,1.291,1.357,0.27,"na",0.438,0.002,1.22,0.011,0.041,5.782,0.0,0.0,0.045,0.355,0.524,0.153,2.613,"na",0.174,0.0,0.0,"na",0.171,"na",59.537,"na",0.885,0.0,0.0
1974,0.168,0.611,0.522,"na",0.062,0.191,0.409,0.167,17.938,22.818,33.538,0.088,0.706,80.485,1.647,0.006,0.061,1.028,3.075,40.936,2.415,64.397,2.171,114.023,0.036,6.37,0.753,0.158,1.881,0.0,0.502,0.006,3.178,0.109,0.083,0.081,1.339,1.354,0.284,"na",0.394,0.016,1.28,0.022,0.038,6.856,0.0,0.0,0.046,0.393,0.507,0.126,2.697,"na",0.22,0.0,0.0,"na",0.156,"na",56.748,"na",0.935,0.0,0.0
