title         = ASCII CSV version of worksheet "Natural Gas: Production" from the 2017 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2017/BP_2017_gas_production_m3.csv
original data = http://www.bp.com/content/dam/bp/en/corporate/excel/energy-economics/statistical-review-2017/bp-statistical-review-of-world-energy-2017-underpinning-data.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = billion cubic metres

"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1965,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1966,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1967,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1968,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1969,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
1970,0.833,6.02,1.74,"na",0.0,0.621,0.219,0.04,101.476,179.136,246.74,0.113,5.496,741.306,14.086,0.135,0.708,3.136,15.809,281.647,10.733,658.627,18.094,988.046,0.079,52.323,2.965,1.298,11.049,0.0,2.533,0.085,10.461,1.239,0.658,0.784,3.701,12.02,2.037,"na",0.294,0.007,11.247,0.0,0.111,26.671,0.0,0.0,0.413,3.486,4.891,1.005,23.333,"na",1.617,0.0,0.0,"na",1.827,"na",595.057,"na",7.71,0.0,0.0
1971,1.471,6.281,2.597,"na",0.0,0.906,0.217,0.04,123.727,192.217,270.007,0.175,6.211,784.47,14.684,0.126,0.746,3.844,18.408,317.173,16.838,680.035,18.18,1054.478,0.125,56.978,3.864,1.242,13.798,0.0,2.67,0.085,17.384,1.253,0.697,0.926,8.951,12.248,2.104,"na",0.708,0.015,11.133,0.079,0.206,36.862,0.0,0.0,0.493,3.476,5.043,1.005,24.936,"na",1.349,0.0,0.0,"na",1.78,"na",611.924,"na",7.472,0.0,0.0
1972,1.493,6.171,3.728,"na",0.42,1.13,0.446,1.067,148.456,200.362,289.182,0.227,6.785,817.805,15.428,0.125,0.717,6.789,21.719,350.326,20.872,687.897,19.384,1106.987,0.17,63.983,5.001,1.518,16.479,0.0,3.383,0.071,25.084,1.229,0.764,0.936,12.07,12.981,2.487,"na",2.832,0.015,11.599,0.111,0.276,49.149,0.0,0.0,0.474,3.221,5.335,1.103,25.507,"na",1.529,0.0,0.0,"na",1.84,"na",612.315,"na",7.427,0.0,0.0
1973,1.736,6.386,4.733,"na",0.581,1.602,1.946,1.644,166.882,213.846,316.137,0.713,7.029,844.053,16.643,0.054,0.553,10.213,25.829,382.445,23.806,696.165,21.732,1160.19,0.195,68.201,6.178,1.573,18.519,0.0,4.49,0.057,27.236,0.8,0.762,0.91,13.338,14.02,2.786,"na",4.531,0.019,12.611,0.111,0.422,59.765,0.0,0.0,0.464,3.669,5.412,1.58,27.004,"na",1.8,0.0,0.0,"na",1.767,"na",615.353,"na",9.149,0.0,0.0
1974,1.738,6.311,5.4,"na",0.639,1.976,4.223,1.721,185.406,235.837,346.64,0.909,7.298,831.866,17.02,0.066,0.631,10.63,31.787,423.104,24.962,665.588,22.436,1178.506,0.375,65.834,7.78,1.636,19.438,0.0,5.191,0.06,32.847,1.127,0.863,0.836,13.84,13.995,2.931,"na",4.075,0.168,13.226,0.231,0.394,70.858,0.0,0.0,0.478,4.059,5.239,1.298,27.871,"na",2.278,0.0,0.0,"na",1.615,"na",586.528,"na",9.669,0.0,0.0
