title         = ASCII CSV version of worksheet "Hydroelectricity: Consumption" from the 2017 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2017/BP_2017_hydro_consumption_twh.csv
original data = http://www.bp.com/content/dam/bp/en/corporate/excel/energy-economics/statistical-review-2017/bp-statistical-review-of-world-energy-2017-underpinning-data.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = terawatt-hours

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,1.211,16.083,7.69,"na",0.0,0.272,2.002,216.835,85.321,212.406,12.153,10.343,707.492,10.143,0.627,2.849,14.279,150.558,387.853,2.346,324.958,39.906,919.899,23.975,"na",117.123,24.097,3.955,22.097,3.544,2.232,16.212,0.022,0.393,0.345,1.732,20.033,9.354,46.881,4.612,0.831,0.0,0.071,1.825,0.942,0.0,19.167,1.719,42.634,70.045,0.71,0.0,"na","na",8.861,0.597,0.0,49.365,10.019,2.63,0.76,2.196,0.919,3.975,0.0,0.999,"na",0.0,46.452,0.0,2.223,1.096,"na",2.179,0.0,3.673,"na",198.974,"na",1.397,0.34,0.0
1966,0.0,1.229,17.331,7.345,"na",0.0,0.299,2.011,235.717,96.21,232.538,13.461,10.391,753.877,11.064,0.699,4.244,15.649,163.388,421.463,2.546,338.923,44.447,986.415,26.225,"na",128.821,27.519,4.163,22.486,3.937,2.104,17.534,0.022,0.362,0.393,1.825,27.743,10.381,52.208,4.536,1.892,0.0,0.106,2.373,0.849,0.0,20.015,1.847,43.72,79.811,0.985,0.0,"na","na",10.165,0.707,0.0,48.693,10.805,2.824,0.795,2.196,0.93,5.276,0.0,1.034,"na",0.0,45.533,0.0,2.13,1.273,"na",2.338,0.0,3.814,"na",199.937,"na",1.432,0.39,0.0
1967,0.0,1.255,17.698,7.606,"na",0.0,0.238,2.024,227.691,92.799,234.503,13.785,10.614,774.868,11.939,0.84,4.452,16.158,154.023,417.897,2.829,371.417,47.047,1009.371,27.431,"na",133.126,29.85,4.256,19.383,4.389,1.896,16.652,0.022,0.407,0.438,1.967,23.06,11.629,45.378,4.885,1.816,0.0,0.08,2.665,0.802,0.0,22.398,1.989,42.34,69.004,0.953,0.0,"na","na",11.071,0.738,0.0,53.324,11.221,3.164,1.074,2.603,0.989,5.481,0.0,1.476,"na",0.0,49.312,0.0,1.825,1.741,"na",2.382,0.0,3.593,"na",227.221,"na",1.662,0.43,0.0
1968,0.0,1.48,18.185,7.951,"na",0.0,0.244,1.304,230.97,109.009,266.945,15.065,10.638,792.259,13.122,0.942,4.711,18.623,164.447,445.93,3.081,377.119,50.004,1059.204,28.708,"na",136.321,29.515,3.571,22.87,4.891,1.467,16.899,0.022,0.557,0.455,3.001,24.819,10.489,50.423,3.722,1.503,0.0,0.093,3.292,0.768,0.0,25.849,2.139,42.677,69.204,0.929,0.0,"na","na",12.644,0.818,0.0,60.228,11.773,3.394,0.703,3.129,1.058,5.188,0.0,1.56,"na",0.0,48.786,0.0,1.675,1.578,"na",3.175,0.0,5.233,"na",228.155,"na",2.793,0.48,0.0
1969,0.0,1.326,16.718,8.684,"na",0.0,0.23,1.838,226.585,118.546,289.984,17.23,10.815,832.629,16.285,1.093,5.023,21.583,175.383,450.422,3.396,417.805,54.023,1122.613,30.724,"na",148.227,28.245,4.026,23.259,5.438,1.198,13.713,0.022,0.362,0.508,3.991,31.144,8.745,52.942,3.256,2.258,0.0,0.093,3.443,0.581,0.0,28.7,2.303,41.166,76.581,1.429,0.0,"na","na",13.55,1.03,0.0,57.395,11.636,3.699,0.8,3.301,0.907,6.311,0.0,2.223,"na",0.0,41.856,0.0,1.304,1.18,"na",3.445,0.0,3.986,"na",256.029,"na",3.279,0.54,0.0
1970,0.0,1.516,21.29,10.171,"na",0.0,0.246,2.152,240.205,128.123,322.422,21.804,11.063,852.354,16.895,1.1,5.821,27.076,179.119,475.196,3.58,423.82,65.985,1174.775,39.801,"na",155.324,29.173,4.304,24.037,6.053,1.71,17.534,0.022,0.583,0.557,4.689,28.27,9.524,56.681,4.536,2.921,0.0,0.093,4.185,0.802,0.0,30.436,2.479,40.373,73.408,1.221,0.0,"na","na",15.004,1.304,0.0,57.854,12.67,3.827,1.542,2.921,1.884,5.804,0.0,2.767,"na",0.0,41.542,0.0,1.967,2.002,"na",3.033,0.0,3.558,"na",253.492,"na",4.106,0.6,0.0
1971,0.0,1.525,16.82,11.507,"na",0.0,0.134,2.174,237.806,129.723,338.95,20.37,11.391,883.032,18.107,1.089,6.952,25.837,194.692,481.18,3.754,443.74,72.78,1221.983,43.199,"na",157.03,29.044,4.397,29.075,6.423,1.176,13.455,0.022,0.327,0.61,5.047,32.387,10.681,48.857,3.373,2.943,0.0,0.093,1.379,0.465,0.0,33.384,2.665,39.079,79.408,1.32,0.0,"na","na",14.456,1.313,0.0,63.94,14.394,4.278,1.706,3.814,1.919,6.17,0.0,4.499,"na",0.0,52.034,0.0,1.476,2.294,"na",2.61,0.0,3.094,"na",272.254,"na",5.396,0.614,0.093
1972,0.0,1.485,17.288,11.553,"na",0.175,0.18,2.095,248.262,126.527,358.267,23.349,11.815,918.93,20.819,1.068,6.546,29.837,203.609,491.127,4.568,465.467,82.59,1277.197,50.681,"na",171.331,24.234,5.224,32.951,7.115,1.255,13.206,0.022,0.499,1.074,5.162,34.79,10.38,48.831,3.373,2.965,0.0,0.106,1.233,0.686,0.0,32.403,3.5,41.348,83.948,1.368,0.0,"na","na",15.419,1.242,0.0,68.138,15.265,4.441,1.432,4.013,1.931,7.086,0.0,7.341,"na",0.0,53.775,0.0,1.546,2.148,"na",3.204,0.0,3.642,"na",278.716,"na",6.024,0.422,0.826
1973,0.0,2.961,19.209,12.286,"na",0.331,0.171,2.572,247.639,126.13,373.33,23.705,11.786,919.816,19.943,0.787,7.111,29.804,197.179,496.504,3.752,473.316,92.591,1293.146,57.89,"na",178.831,26.587,5.317,36.827,7.743,1.083,15.229,0.022,0.756,0.579,5.153,28.521,10.58,47.696,3.838,2.462,0.0,0.093,1.556,0.64,0.0,34.507,2.965,37.523,69.973,1.284,0.0,"na","na",16.272,1.308,0.0,73.654,15.097,4.769,1.847,4.234,1.849,7.325,0.0,7.548,"na",0.0,59.905,0.0,1.322,2.329,"na",2.603,0.0,3.394,"na",278.213,"na",6.223,0.42,0.19
1974,0.0,4.972,22.712,13.874,"na",0.243,0.24,2.082,267.607,136.109,414.186,27.351,12.458,1005.193,24.484,1.557,7.314,35.089,215.163,535.986,4.823,522.001,106.317,1419.38,65.679,"na",197.936,27.85,6.046,41.675,8.792,1.732,17.638,0.022,0.499,0.579,6.116,30.921,12.703,56.23,4.071,2.232,0.0,0.08,1.724,0.791,0.0,33.203,3.266,37.795,79.009,1.906,0.0,"na","na",16.78,1.295,0.0,76.654,15.189,5.224,2.223,4.256,2.454,7.828,0.0,8.476,"na",0.0,57.302,0.0,2.223,2.979,"na",3.356,0.0,4.711,"na",307.285,"na",7.712,0.42,1.123
